Round,Match,Result,Player,Id,Position,Jersey No,xG,xGOT,ShotType,GoalType,Situation,BodyPart,goalMouthLocation,Time,Overtime
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,L. Oppie,1137900,D,4,0.001019,-,miss,-,free-kick,left-foot,close-high,90,7
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,K. Mizuta,1066020,M,25,0.1555,0.1358,goal,regular,regular,head,high-centre,88,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,L. Oppie,1137900,D,4,0.1027,0.182,save,-,regular,right-foot,low-left,87,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,K. Mizuta,1066020,M,25,0.0473,-,block,-,regular,right-foot,low-centre,86,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,M. Corboz,829211,M,6,0.01084,-,miss,-,corner,right-foot,close-high-right,84,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,K. Mizuta,1066020,M,25,0.01738,-,miss,-,regular,left-foot,close-high-left,81,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,L. Oppie,1137900,D,4,0.01103,-,block,-,regular,left-foot,low-centre,77,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,M. Wörl,1387705,M,38,0.2099,-,post,-,regular,right-foot,right,75,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,M. Wörl,1387705,M,38,0.0006164,-,block,-,regular,right-foot,low-centre,75,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,M. Biankadi,254185,M,17,0.03516,0.1041,save,-,regular,left-foot,low-right,45,3
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,M. Corboz,829211,M,6,0.003183,-,miss,-,throw-in-set-piece,left-foot,close-high-right,27,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,M. Biankadi,254185,M,17,0.05266,0.1897,save,-,regular,right-foot,low-right,26,0
2,Arminia Bielefeld : Borussia Dortmund II,1 : 0,C. Lannert,886258,D,24,0.01077,-,block,-,regular,left-foot,low-centre,20,0
