Rounds,22
xG_cum,41.73
xG per Game,1.9
xGOT_cum,43.26
xGOT per Game,1.97
Shots,326
Shots per Game,14.82
Shots_on_target,142
SoT per game,6.45
Goals,44
Goals per Game,2.0
