Rounds,27
xG_cum,44.48
xG per Game,1.65
xGOT_cum,39.84
xGOT per Game,1.48
Shots,412
Shots per Game,15.26
Shots_on_target,133
SoT per game,4.93
Goals,36
Goals per Game,1.33
